"issue_year"|"issue_date"|"edifil_code"|"issue_name"|"stamp_name"|"stamp_face_value"|"stamp_size"|"stamp_type"|"stamp_color"|"stamp_paper_type"|"stamp_perforation"|"stamp_artist"|"stamp_print_type"|"stamp_printer"|"issue_amount_printed"|"stamp_amount_printed"|"issue_market_value"|"stamp_market_value"|"issue_description"|"stamp_description"|"issue_notes"
"1865"|"1865/01/01"|"78"||"1 Real Verde"|"1 Real"|"20x24 mm"|"Sello"|"Verde"|"Papel Blanco"|"14"|"José Pérez Varela"|"Tipografía"|"Fábrica Nacional Del Sello"|"n/a"|"n/a"|"n/a"|"n/a"||"Sello de 20 céntimos de escudo en color lila."|
"1865"|"1865/01/01"|"79"||"2 Reales Lila"|"2 Reales"|"20x24 mm"|"Sello"|"Lila"|"Papel Blanco"|"14"|"José Pérez Varela"|"Tipografía"|"Fábrica Nacional Del Sello"|"n/a"|"n/a"|"n/a"|"n/a"||"Sello de 19 cuartos en color marrón, cambio de color del código 72."|
||||||||||||||||||||
"1866"|"1866/01/01"|"80"|"Isabel II"|"2 Cuartos Rosa"|"2 Cuartos"|"20x24 mm"|"Sello"|"Rosa"|"Papel Blanco"|"14"|"José Pérez Varela"|"Tipografía"|"Fábrica Nacional Del Sello"|"n/a"|"n/a"|"85"|"n/a"|"Emisión con la efigie de la Reina Isabel II mirando a la izquierda. Esta serie marca la transición definitiva al sistema monetario de céntimos de escudo."||"Grabados por José Pérez Varela. Impresos en pliegos de 170 sellos. El papel utilizado es blanco y liso, sin marca de agua."
"1866"|"1866/01/01"|"81"||"4 Cuartos Azul"|"4 Cuartos"|"20x24 mm"|"Sello"|"Azul"|"Papel Blanco"|"14"|"José Pérez Varela"|"Tipografía"|"Fábrica Nacional Del Sello"|"n/a"|"n/a"|"n/a"|"n/a"|||
"1866"|"1866/01/01"|"82"||"12 Cuartos Naranja"|"12 Cuartos"|"20x24 mm"|"Sello"|"Naranja"|"Papel Blanco"|"14"|"José Pérez Varela"|"Tipografía"|"Fábrica Nacional Del Sello"|"n/a"|"n/a"|"n/a"|"n/a"|||
"1866"|"1866/01/01"|"83"||"19 Cuartos Castaño"|"19 Cuartos"|"20x24 mm"|"Sello"|"Castaño"|"Papel Blanco"|"14"|"José Pérez Varela"|"Tipografía"|"Fábrica Nacional Del Sello"|"n/a"|"n/a"|"n/a"|"n/a"|||
"1866"|"1866/01/01"|"84"||"10 Cuartos Verde"|"10 Cuartos"|"20x24 mm"|"Sello"|"Verde"|"Papel Blanco"|"14"|"José Pérez Varela"|"Tipografía"|"Fábrica Nacional Del Sello"|"n/a"|"n/a"|"n/a"|"n/a"|||
"1866"|"1866/01/01"|"85"||"20 Cuartos Lila"|"20 Cuartos"|"20x24 mm"|"Sello"|"Lila"|"Papel Blanco"|"14"|"José Pérez Varela"|"Tipografía"|"Fábrica Nacional Del Sello"|"n/a"|"n/a"|"n/a"|"n/a"|||
||||||||||||||||||||
"1866"|"1866/08/01"|"86"|"Isabel II"|"20 Céntimos De Escudo Lila"|"20 C. Esc."|"20x24 mm"|"Sello"|"Lila"|"Papel Blanco"|"14"|"José Pérez Varela"|"Tipografía"|"Fábrica Nacional Del Sello"|"n/a"|"n/a"|"12"|"n/a"|"Emisión de un solo valor para ajustar el color del sello de 20 céntimos de escudo, que anteriormente era verde, cumpliendo con las normativas de la Unión Postal."|"Sello de 20 céntimos de escudo en color lila."|"Grabado por José Pérez Varela. Es un cambio de color del diseño anterior para evitar confusiones con otros valores de la serie."
||||||||||||||||||||
"1867"|"1867/01/01"|"87"|"Isabel II"|"2 Cuartos Marrón"|"2 Cuartos"|"20x24 mm"|"Sello"|"Marrón"|"Papel Blanco"|"14"|"José Pérez Varela"|"Tipografía"|"Fábrica Nacional Del Sello"|"n/a"|"n/a"|"95"|"n/a"|"Nueva serie de la Reina Isabel II con efigie hacia la izquierda. El diseño se simplifica y se eliminan los adornos de las esquinas en algunos valores, presentando un aspecto más limpio."||"Grabados por José Pérez Varela. Es la última gran serie de la Reina antes de la Revolución de 1868. Se caracteriza por una impresión muy nítida."
"1867"|"1867/01/01"|"88"||"4 Cuartos Azul"|"4 Cuartos"|"20x24 mm"|"Sello"|"Azul"|"Papel Blanco"|"14"|"José Pérez Varela"|"Tipografía"|"Fábrica Nacional Del Sello"|"n/a"|"n/a"|"n/a"|"n/a"|||
"1867"|"1867/01/01"|"89"||"12 Cuartos Amarillo"|"12 Cuartos"|"20x24 mm"|"Sello"|"Amarillo"|"Papel Blanco"|"14"|"José Pérez Varela"|"Tipografía"|"Fábrica Nacional Del Sello"|"n/a"|"n/a"|"n/a"|"n/a"|||
"1867"|"1867/01/01"|"90"||"19 Cuartos Rosa"|"19 Cuartos"|"20x24 mm"|"Sello"|"Rosa"|"Papel Blanco"|"14"|"José Pérez Varela"|"Tipografía"|"Fábrica Nacional Del Sello"|"n/a"|"n/a"|"n/a"|"n/a"|||
"1867"|"1867/01/01"|"91"||"10 Cuartos Verde"|"10 Cuartos"|"20x24 mm"|"Sello"|"Verde"|"Papel Blanco"|"14"|"José Pérez Varela"|"Tipografía"|"Fábrica Nacional Del Sello"|"n/a"|"n/a"|"n/a"|"n/a"|||
"1867"|"1867/01/01"|"92"||"20 Cuartos Lila"|"20 Cuartos"|"20x24 mm"|"Sello"|"Lila"|"Papel Blanco"|"14"|"José Pérez Varela"|"Tipografía"|"Fábrica Nacional Del Sello"|"n/a"|"n/a"|"n/a"|"n/a"|||
||||||||||||||||||||
"1867"|"1867/07/01"|"93"|"Cifras E Isabel II"|"5 Milésimas De Escudo"|"5 Milésimas"|"20x25 mm"|"Sello"|"Verde"|"Papel Blanco"|"14"|"Eugenio Julia Jover"|"Tipografia"|"Fabrica Nacional Del Sello"|"n/a"|"n/a"|"94"|"32"|"Emision De Sellos Para El Franqueo De Impresos Y Correspondencia Presentando La Efigie De Isabel Ii En Un Medallon Central O Cifras Del Valor Segun El Modelo. Los Grabados Fueron Realizados Por Eugenio Julia Jover E Impresos En La Fabrica Nacional Del Sello."|"Sello Con Cifra De Valor En El Centro Dentro De Un Marco Decorado."|"Serie De Cuatro Valores Emitida Bajo El Reinado De Isabel Ii. Los Valores De 5 Y 10 Milesimas Se Destinaron Inicialmente A Impresos Pero Una Real Orden De 1868 Permitio Su Uso General. El Dentado Es De Peine 14."
"1867"|"1867/07/01"|"94"||"10 Milésimas De Escudo"|"10 Milésimas"|"20x25 mm"|"Sello"|"Azul"|"Papel Blanco"|"14"|"Eugenio Julia Jover"|"Tipografia"|"Fabrica Nacional Del Sello"|"n/a"|"n/a"||"32"||"Sello Con Cifra De Valor En El Centro Dentro De Un Marco Decorado."|
"1867"|"1867/07/01"|"95"||"25 Milésimas De Escudo"|"25 Milésimas"|"20x25 mm"|"Sello"|"Azul Y Rosa"|"Papel Blanco"|"14"|"Eugenio Julia Jover"|"Tipografia"|"Fabrica Nacional Del Sello"|"n/a"|"n/a"||"35"||"Efigie De La Reina Isabel Ii De Perfil Hacia La Izquierda."|
"1867"|"1867/07/01"|"96"||"50 Milésimas De Escudo"|"50 Milésimas"|"20x25 mm"|"Sello"|"Castaño Amarillento"|"Papel Blanco"|"14"|"Eugenio Julia Jover"|"Tipografia"|"Fabrica Nacional Del Sello"|"n/a"|"n/a"||"32"||"Efigie De La Reina Isabel Ii De Perfil Hacia La Izquierda."|
||||||||||||||||||||
"1868"|"1868/12/01"|"97"|"Isabel II"|"25 Milésimas De Escudo"|"25 Milésimas"|"20x25 mm"|"Sello"|"Azul"|"Papel Blanco"|"14"|"Eugenio Julia Jover"|"Tipografia"|"Fabrica Nacional Del Sello"|"n/a"|"n/a"|"125"|"10"|"Emision De Continuidad De La Serie De 1867 Con Nuevos Colores O Valores Segun Decretos De 1868. Tras La Revolucion De Septiembre Conocida Como La Gloriosa Muchos De Estos Sellos Circularon Con La Sobrecarga Habilitado Por La Nacion."|"Efigie De La Reina Isabel Ii De Perfil Hacia La Izquierda."|"Serie Que Marca El Fin Del Reinado Efectivo De Isabel Ii. El Valor De 19 Cuartos Es Especialmente Raro En Nuevo. Los Sellos Fueron Grabados Por Eugenio Julia Jover Y Presentan Dentado De Peine 14."
"1868"|"1868/12/01"|"98"||"50 Milésimas De Escudo"|"50 Milésimas"|"20x25 mm"|"Sello"|"Violeta"|"Papel Blanco"|"14"|"Eugenio Julia Jover"|"Tipografia"|"Fabrica Nacional Del Sello"|"n/a"|"n/a"||"8"||"Efigie De La Reina Isabel Ii De Perfil Hacia La Izquierda."|
"1868"|"1868/12/01"|"99"||"100 Milésimas De Escudo"|"100 Milésimas"|"20x25 mm"|"Sello"|"Castaño"|"Papel Blanco"|"14"|"Eugenio Julia Jover"|"Tipografia"|"Fabrica Nacional Del Sello"|"n/a"|"n/a"||"10"||"Efigie De La Reina Isabel Ii De Perfil Hacia La Izquierda."|
"1868"|"1868/12/01"|"100"||"200 Milésimas De Escudo"|"200 Milésimas"|"20x25 mm"|"Sello"|"Verde"|"Papel Blanco"|"14"|"Eugenio Julia Jover"|"Tipografia"|"Fabrica Nacional Del Sello"|"n/a"|"n/a"||"12"||"Efigie De La Reina Isabel Ii De Perfil Hacia La Izquierda."|
"1868"|"1868/12/01"|"101"||"19 Cuartos"|"19 Cuartos"|"20x25 mm"|"Sello"|"Castaño"|"Papel Blanco"|"14"|"Eugenio Julia Jover"|"Tipografia"|"Fabrica Nacional Del Sello"|"n/a"|"n/a"||"850"||"Efigie De La Reina Isabel Ii De Perfil Hacia La Izquierda."|
||||||||||||||||||||
"1870"|"1870/01/01"|"102"|"Efigie Alegórica De España"|"Efigie Alegórica De España"|"1 Milésima De Escudo"|"20x24 mm"|"Sello"|"Rosa"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"|"Serie emitida bajo el Gobierno Provisional tras la revolución de 1868. Representa una alegoría de España con corona mural basada en las monedas de la época."|"Sello con efigie alegórica y corona mural. Impresión tipográfica sobre papel blanco con dentado 14."|"Esta serie sustituye la efigie de Isabel II. Los valores se expresan en milésimas de escudo. Existen numerosas variedades de color y falsificaciones de la época para engañar al correo."
"1870"|"1870/01/01"|"103"||"Efigie Alegórica De España"|"2 Milésimas De Escudo"|"20x24 mm"|"Sello"|"Lila"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Sello con efigie alegórica y corona mural. Impresión tipográfica sobre papel blanco con dentado 14."|
"1870"|"1870/01/01"|"104"||"Efigie Alegórica De España"|"4 Milésimas De Escudo"|"20x24 mm"|"Sello"|"Bistre"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Sello con efigie alegórica y corona mural. Impresión tipográfica sobre papel blanco con dentado 14."|
"1870"|"1870/01/01"|"105"||"Efigie Alegórica De España"|"10 Milésimas De Escudo"|"20x24 mm"|"Sello"|"Rosa"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Sello con efigie alegórica y corona mural. Impresión tipográfica sobre papel blanco con dentado 14."|
"1870"|"1870/01/01"|"106"||"Efigie Alegórica De España"|"25 Milésimas De Escudo"|"20x24 mm"|"Sello"|"Malva"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Sello con efigie alegórica y corona mural. Impresión tipográfica sobre papel blanco con dentado 14."|
"1870"|"1870/01/01"|"107"||"Efigie Alegórica De España"|"50 Milésimas De Escudo"|"20x24 mm"|"Sello"|"Azul"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Sello con efigie alegórica y corona mural. Impresión tipográfica sobre papel blanco con dentado 14."|
"1870"|"1870/01/01"|"108"||"Efigie Alegórica De España"|"100 Milésimas De Escudo"|"20x24 mm"|"Sello"|"Rojo"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Sello con efigie alegórica y corona mural. Impresión tipográfica sobre papel blanco con dentado 14."|
"1870"|"1870/01/01"|"109"||"Efigie Alegórica De España"|"200 Milésimas De Escudo"|"20x24 mm"|"Sello"|"Pardo"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Sello con efigie alegórica y corona mural. Impresión tipográfica sobre papel blanco con dentado 14."|
"1870"|"1870/01/01"|"110"||"Efigie Alegórica De España"|"400 Milésimas De Escudo"|"20x24 mm"|"Sello"|"Verde"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Sello con efigie alegórica y corona mural. Impresión tipográfica sobre papel blanco con dentado 14."|
"1870"|"1870/01/01"|"111"||"Efigie Alegórica De España"|"1 Escudo 600 Milésimas"|"20x24 mm"|"Sello"|"Violeta"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Sello con efigie alegórica y corona mural. Impresión tipográfica sobre papel blanco con dentado 14."|
"1870"|"1870/01/01"|"112"||"Efigie Alegórica De España"|"2 Escudos"|"20x24 mm"|"Sello"|"Azul"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Sello con efigie alegórica y corona mural. Impresión tipográfica sobre papel blanco con dentado 14."|
"1870"|"1870/01/01"|"113"||"Efigie Alegórica De España"|"12 Cuartos De Peseta"|"20x24 mm"|"Sello"|"Carmín"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Sello con efigie alegórica y corona mural. Impresión tipográfica sobre papel blanco con dentado 14."|
"1870"|"1870/01/01"|"114"||"Efigie Alegórica De España"|"19 Cuartos De Peseta"|"20x24 mm"|"Sello"|"Verde"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Sello con efigie alegórica y corona mural. Impresión tipográfica sobre papel blanco con dentado 14."|
||||||||||||||||||||
"1872"|"1872/10/01"|"115"|"Corona Real, Cifras Y Amadeo I"|"Cifras Y Corona Real"|"1/4 De Céntimo De Peseta"|"20x24 mm"|"Sello"|"Azul"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"|"Serie emitida durante el reinado de Amadeo I de Saboya. Incluye valores de cifras para impresos y valores con la efigie del monarca para el correo ordinario."|"Sello con cifra de valor bajo corona real destinado a impresos."|"Esta serie es la única emisión general de España con la efigie de Amadeo I. Los valores del 115 al 117 corresponden a impresos (cifras) y del 117 al 129 a la efigie real. Existen variedades de color y falsos de época."
"1872"|"1872/10/01"|"116"||"Cifras Y Corona Real"|"2 Céntimos De Peseta"|"20x24 mm"|"Sello"|"Gris"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Sello con cifra de valor bajo corona real."|
"1872"|"1872/10/01"|"117"||"Cifras Y Corona Real"|"5 Céntimos De Peseta"|"20x24 mm"|"Sello"|"Verde"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Sello con cifra de valor bajo corona real."|
"1872"|"1872/10/01"|"118"||"Efigie De Amadeo I"|"5 Céntimos De Peseta"|"20x24 mm"|"Sello"|"Rosa"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Sello con cifra de valor bajo corona real."|
"1872"|"1872/10/01"|"119"||"Efigie De Amadeo I"|"6 Céntimos De Peseta"|"20x24 mm"|"Sello"|"Azul"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Retrato de Amadeo I de perfil a la izquierda."|
"1872"|"1872/10/01"|"120"||"Efigie De Amadeo I"|"10 Céntimos De Peseta"|"20x24 mm"|"Sello"|"Violeta"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Retrato de Amadeo I de perfil a la izquierda."|
"1872"|"1872/10/01"|"121"||"Efigie De Amadeo I"|"10 Céntimos De Peseta"|"20x24 mm"|"Sello"|"Azul"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Retrato de Amadeo I de perfil a la izquierda."|
"1872"|"1872/10/01"|"122"||"Efigie De Amadeo I"|"12 Céntimos De Peseta"|"20x24 mm"|"Sello"|"Lila Grisáceo"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Retrato de Amadeo I de perfil a la izquierda."|
"1872"|"1872/10/01"|"123"||"Efigie De Amadeo I"|"20 Céntimos De Peseta"|"20x24 mm"|"Sello"|"Gris"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Retrato de Amadeo I de perfil a la izquierda."|
"1872"|"1872/10/01"|"124"||"Efigie De Amadeo I"|"25 Céntimos De Peseta"|"20x24 mm"|"Sello"|"Castaño"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Retrato de Amadeo I de perfil a la izquierda."|
"1872"|"1872/10/01"|"125"||"Efigie De Amadeo I"|"40 Céntimos De Peseta"|"20x24 mm"|"Sello"|"Castaño Claro"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Retrato de Amadeo I de perfil a la izquierda."|
"1872"|"1872/10/01"|"126"||"Efigie De Amadeo I"|"50 Céntimos De Peseta"|"20x24 mm"|"Sello"|"Verde"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Retrato de Amadeo I de perfil a la izquierda."|
"1872"|"1872/10/01"|"127"||"Efigie De Amadeo I"|"1 Peseta"|"20x24 mm"|"Sello"|"Lila"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Retrato de Amadeo I de perfil a la izquierda."|
"1872"|"1872/10/01"|"128"||"Efigie De Amadeo I"|"4 Pesetas"|"20x24 mm"|"Sello"|"Castaño Amarillento"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Valor de 20 céntimos añadido con la efigie de Amadeo I."|
"1872"|"1872/10/01"|"129"||"Efigie De Amadeo I"|"10 Pesetas"|"20x24 mm"|"Sello"|"Verde"|"Blanco"|"14"|"Julia Machon"|"Tipografía"|"Fábrica Nacional De Moneda Y Timbre"|"n/a"|"n/a"|"n/a"|"n/a"||"Efigie de Amadeo I en valor bajo (raro en este diseño)."|
||||||||||||||||||||
"1938"|"01/06/1938"|"763"|"CL Aniversario De La Constitucion De Los EE.UU"|"Estatua De La Libertad Y Banderas"|"1 Pta"|"35x48 mm"|"Sello"|"Multicolor"|"Blanco"|"11 1/2"|"Arthur Barger / Camilo Delhom"|"Litografia"|"Rieusset / Barguño"|"425000"|"425000"|"250.00 €"|"35.00 €"|"Serie Conmemorativa Del 150 Aniversario De La Constitucion De Los Estados Unidos De America Emitida Por El Gobierno De La Segunda Republica."|"El Diseño Muestra La Estatua De La Libertad En New York Junto A Las Banderas De EE.UU Y España."|"Venta Exclusiva En La Agencia Filatelica Oficial De Barcelona. Los Valores Aereos Eran Pagaderos En Moneda Extranjera. Existen Hojas Bloque Con El Sello Central. Validez Postal Hasta El 31 De Marzo De 1939."
"1938"|"01/06/1938"|"764"||"Estatua De La Libertad Y Banderas (Aereo)"|"1 Pta"|"35x48 mm"|"Sello"|"Multicolor"|"Blanco"|"11 1/2"|"Arthur Barger / Camilo Delhom"|"Litografia"|"Rieusset / Barguño"|"n/a"|"n/a"||"35.00 €"||"Sello De Correo Aereo Sin Sobrecarga."|
"1938"|"01/06/1938"|"765"||"Estatua De La Libertad Y Banderas (Aereo Sobrecargado)"|"2 Ptas Sobre 1 Pta"|"35x48 mm"|"Sello"|"Multicolor"|"Blanco"|"11 1/2"|"Arthur Barger / Camilo Delhom"|"Litografia"|"Rieusset / Barguño"|"13000"|"13000"||"150.00 €"||"Sello De Correo Aereo Con Sobrecarga De Valor."|
"1938"|"01/06/1938"|"766"||"Estatua De La Libertad Y Banderas (Aereo Sobrecargado)"|"5 Ptas Sobre 1 Pta"|"35x48 mm"|"Sello"|"Multicolor"|"Blanco"|"11 1/2"|"Arthur Barger / Camilo Delhom"|"Litografia"|"Rieusset / Barguño"|"n/a"|"n/a"||"125.00 €"||"Sello De Correo Aereo Con Sobrecarga De Valor."|
