issue_year|issue_date|fesofi_code|edifil_code|issue_name|stamp_name|stamp_face_value|stamp_size|stamp_color|stamp_perforation|stamp_artist|stamp_print_type|stamp_printer|stamp_amount_printed|number_of_stamps_in_issue|issue_description
1928|1928/12/23|0419|419|Pro Catacumbas de San Dámaso|Pio XI y Alfonso XIII. Serie para Santiago|2 cts|46 x 29 mm|carmín rosa y negro|12 1/2 de línea|J.C.A. Harrison|Calcografía, sob. galvanoplastia|Waterlow and Sons Ltd. de Londres|67.700|16|Para la custodia, conservación y estudio de las catacumbas italianas, se creo la Comisión Pontificia de Arqueología Sagrada. En el estudio y descubrimiento de las catacumbas italianas destacan Antonio Bosio (1575-1629) conocido como el Colon de la Roma Subterránea, por el gran número de catacumbas que descubrió, y sobre todo Juan Bautista de Rossi (1822-1894) uno de los pioneros de la arqueología cristiana. Aunque de Rossi se graduó en jurisprudencia gran parte de su vida, la dedico al estudio científico de la las catacumbas, destacando por el hallazgo de las Catacumbas de San Calixto, una de las más importantes de Roma.El Papa Pío XI en el año 1925 definió las competencias de la Comisión Pontificia de Arqueología Sacra, cuyas funciones referentes al estudio de las catacumbas fueron posteriormente precisadas con una serie de normas pactadas con las autoridades italianas.
1928|1928/12/23|0420|420|Pro Catacumbas de San Dámaso|Pio XI y Alfonso XIII. Serie para Santiago|3 cts|46 x 29 mm|azul índigo y violeta|12 1/2 de línea|J.C.A. Harrison|Calcografía, sob. galvanoplastia|Waterlow and Sons Ltd. de Londres|67.700|16|Para la custodia, conservación y estudio de las catacumbas italianas, se creo la Comisión Pontificia de Arqueología Sagrada. En el estudio y descubrimiento de las catacumbas italianas destacan Antonio Bosio (1575-1629) conocido como el Colon de la Roma Subterránea, por el gran número de catacumbas que descubrió, y sobre todo Juan Bautista de Rossi (1822-1894) uno de los pioneros de la arqueología cristiana. Aunque de Rossi se graduó en jurisprudencia gran parte de su vida, la dedico al estudio científico de la las catacumbas, destacando por el hallazgo de las Catacumbas de San Calixto, una de las más importantes de Roma.El Papa Pío XI en el año 1925 definió las competencias de la Comisión Pontificia de Arqueología Sacra, cuyas funciones referentes al estudio de las catacumbas fueron posteriormente precisadas con una serie de normas pactadas con las autoridades italianas.
1928|1928/12/23|0421|421|Pro Catacumbas de San Dámaso|Pio XI y Alfonso XIII. Serie para Santiago|3 cts|46 x 29 mm|azul y violeta|12 1/2 de línea|J.C.A. Harrison|Calcografía, sob. galvanoplastia|Waterlow and Sons Ltd. de Londres|67.700|16|Para la custodia, conservación y estudio de las catacumbas italianas, se creo la Comisión Pontificia de Arqueología Sagrada. En el estudio y descubrimiento de las catacumbas italianas destacan Antonio Bosio (1575-1629) conocido como el Colon de la Roma Subterránea, por el gran número de catacumbas que descubrió, y sobre todo Juan Bautista de Rossi (1822-1894) uno de los pioneros de la arqueología cristiana. Aunque de Rossi se graduó en jurisprudencia gran parte de su vida, la dedico al estudio científico de la las catacumbas, destacando por el hallazgo de las Catacumbas de San Calixto, una de las más importantes de Roma.El Papa Pío XI en el año 1925 definió las competencias de la Comisión Pontificia de Arqueología Sacra, cuyas funciones referentes al estudio de las catacumbas fueron posteriormente precisadas con una serie de normas pactadas con las autoridades italianas.
1928|1928/12/23|0422|422|Pro Catacumbas de San Dámaso|Pio XI y Alfonso XIII. Serie para Santiago|5 cts|46 x 29 mm|verde oliva y violeta|12 1/2 de línea|J.C.A. Harrison|Calcografía, sob. galvanoplastia|Waterlow and Sons Ltd. de Londres|67.700|16|Para la custodia, conservación y estudio de las catacumbas italianas, se creo la Comisión Pontificia de Arqueología Sagrada. En el estudio y descubrimiento de las catacumbas italianas destacan Antonio Bosio (1575-1629) conocido como el Colon de la Roma Subterránea, por el gran número de catacumbas que descubrió, y sobre todo Juan Bautista de Rossi (1822-1894) uno de los pioneros de la arqueología cristiana. Aunque de Rossi se graduó en jurisprudencia gran parte de su vida, la dedico al estudio científico de la las catacumbas, destacando por el hallazgo de las Catacumbas de San Calixto, una de las más importantes de Roma.El Papa Pío XI en el año 1925 definió las competencias de la Comisión Pontificia de Arqueología Sacra, cuyas funciones referentes al estudio de las catacumbas fueron posteriormente precisadas con una serie de normas pactadas con las autoridades italianas.
1928|1928/12/23|0423|423|Pro Catacumbas de San Dámaso|Pio XI y Alfonso XIII. Serie para Santiago|10 cts|46 x 29 mm|verde y negro|12 1/2 de línea|J.C.A. Harrison|Calcografía, sob. galvanoplastia|Waterlow and Sons Ltd. de Londres|67.700|16|Para la custodia, conservación y estudio de las catacumbas italianas, se creo la Comisión Pontificia de Arqueología Sagrada. En el estudio y descubrimiento de las catacumbas italianas destacan Antonio Bosio (1575-1629) conocido como el Colon de la Roma Subterránea, por el gran número de catacumbas que descubrió, y sobre todo Juan Bautista de Rossi (1822-1894) uno de los pioneros de la arqueología cristiana. Aunque de Rossi se graduó en jurisprudencia gran parte de su vida, la dedico al estudio científico de la las catacumbas, destacando por el hallazgo de las Catacumbas de San Calixto, una de las más importantes de Roma.El Papa Pío XI en el año 1925 definió las competencias de la Comisión Pontificia de Arqueología Sacra, cuyas funciones referentes al estudio de las catacumbas fueron posteriormente precisadas con una serie de normas pactadas con las autoridades italianas.
1928|1928/12/23|0424|424|Pro Catacumbas de San Dámaso|Pio XI y Alfonso XIII. Serie para Santiago|15 cts|46 x 29 mm|verde azulado y violeta|12 1/2 de línea|J.C.A. Harrison|Calcografía, sob. galvanoplastia|Waterlow and Sons Ltd. de Londres|67.700|16|Para la custodia, conservación y estudio de las catacumbas italianas, se creo la Comisión Pontificia de Arqueología Sagrada. En el estudio y descubrimiento de las catacumbas italianas destacan Antonio Bosio (1575-1629) conocido como el Colon de la Roma Subterránea, por el gran número de catacumbas que descubrió, y sobre todo Juan Bautista de Rossi (1822-1894) uno de los pioneros de la arqueología cristiana. Aunque de Rossi se graduó en jurisprudencia gran parte de su vida, la dedico al estudio científico de la las catacumbas, destacando por el hallazgo de las Catacumbas de San Calixto, una de las más importantes de Roma.El Papa Pío XI en el año 1925 definió las competencias de la Comisión Pontificia de Arqueología Sacra, cuyas funciones referentes al estudio de las catacumbas fueron posteriormente precisadas con una serie de normas pactadas con las autoridades italianas.
1928|1928/12/23|0425|425|Pro Catacumbas de San Dámaso|Pio XI y Alfonso XIII. Serie para Santiago|25 cts|46 x 29 mm|carmín y violeta|12 1/2 de línea|J.C.A. Harrison|Calcografía, sob. galvanoplastia|Waterlow and Sons Ltd. de Londres|67.700|16|Para la custodia, conservación y estudio de las catacumbas italianas, se creo la Comisión Pontificia de Arqueología Sagrada. En el estudio y descubrimiento de las catacumbas italianas destacan Antonio Bosio (1575-1629) conocido como el Colon de la Roma Subterránea, por el gran número de catacumbas que descubrió, y sobre todo Juan Bautista de Rossi (1822-1894) uno de los pioneros de la arqueología cristiana. Aunque de Rossi se graduó en jurisprudencia gran parte de su vida, la dedico al estudio científico de la las catacumbas, destacando por el hallazgo de las Catacumbas de San Calixto, una de las más importantes de Roma.El Papa Pío XI en el año 1925 definió las competencias de la Comisión Pontificia de Arqueología Sacra, cuyas funciones referentes al estudio de las catacumbas fueron posteriormente precisadas con una serie de normas pactadas con las autoridades italianas.
1928|1928/12/23|0426|426|Pro Catacumbas de San Dámaso|Pio XI y Alfonso XIII. Serie para Santiago|40 cts|46 x 29 mm|azul oscuro y negro|12 1/2 de línea|J.C.A. Harrison|Calcografía, sob. galvanoplastia|Waterlow and Sons Ltd. de Londres|67.700|16|Para la custodia, conservación y estudio de las catacumbas italianas, se creo la Comisión Pontificia de Arqueología Sagrada. En el estudio y descubrimiento de las catacumbas italianas destacan Antonio Bosio (1575-1629) conocido como el Colon de la Roma Subterránea, por el gran número de catacumbas que descubrió, y sobre todo Juan Bautista de Rossi (1822-1894) uno de los pioneros de la arqueología cristiana. Aunque de Rossi se graduó en jurisprudencia gran parte de su vida, la dedico al estudio científico de la las catacumbas, destacando por el hallazgo de las Catacumbas de San Calixto, una de las más importantes de Roma.El Papa Pío XI en el año 1925 definió las competencias de la Comisión Pontificia de Arqueología Sacra, cuyas funciones referentes al estudio de las catacumbas fueron posteriormente precisadas con una serie de normas pactadas con las autoridades italianas.
1928|1928/12/23|0427|427|Pro Catacumbas de San Dámaso|Pio XI y Alfonso XIII. Serie para Santiago|55 cts|46 x 29 mm|castaño y violeta|12 1/2 de línea|J.C.A. Harrison|Calcografía, sob. galvanoplastia|Waterlow and Sons Ltd. de Londres|67.700|16|Para la custodia, conservación y estudio de las catacumbas italianas, se creo la Comisión Pontificia de Arqueología Sagrada. En el estudio y descubrimiento de las catacumbas italianas destacan Antonio Bosio (1575-1629) conocido como el Colon de la Roma Subterránea, por el gran número de catacumbas que descubrió, y sobre todo Juan Bautista de Rossi (1822-1894) uno de los pioneros de la arqueología cristiana. Aunque de Rossi se graduó en jurisprudencia gran parte de su vida, la dedico al estudio científico de la las catacumbas, destacando por el hallazgo de las Catacumbas de San Calixto, una de las más importantes de Roma.El Papa Pío XI en el año 1925 definió las competencias de la Comisión Pontificia de Arqueología Sacra, cuyas funciones referentes al estudio de las catacumbas fueron posteriormente precisadas con una serie de normas pactadas con las autoridades italianas.
1928|1928/12/23|0428|428|Pro Catacumbas de San Dámaso|Pio XI y Alfonso XIII. Serie para Santiago|80 cts|46 x 29 mm|rojo y negro|12 1/2 de línea|J.C.A. Harrison|Calcografía, sob. galvanoplastia|Waterlow and Sons Ltd. de Londres|67.700|16|Para la custodia, conservación y estudio de las catacumbas italianas, se creo la Comisión Pontificia de Arqueología Sagrada. En el estudio y descubrimiento de las catacumbas italianas destacan Antonio Bosio (1575-1629) conocido como el Colon de la Roma Subterránea, por el gran número de catacumbas que descubrió, y sobre todo Juan Bautista de Rossi (1822-1894) uno de los pioneros de la arqueología cristiana. Aunque de Rossi se graduó en jurisprudencia gran parte de su vida, la dedico al estudio científico de la las catacumbas, destacando por el hallazgo de las Catacumbas de San Calixto, una de las más importantes de Roma.El Papa Pío XI en el año 1925 definió las competencias de la Comisión Pontificia de Arqueología Sacra, cuyas funciones referentes al estudio de las catacumbas fueron posteriormente precisadas con una serie de normas pactadas con las autoridades italianas.
1928|1928/12/23|0429|429|Pro Catacumbas de San Dámaso|Pio XI y Alfonso XIII. Serie para Santiago|1 pta|46 x 29 mm|gris y violeta|12 1/2 de línea|J.C.A. Harrison|Calcografía, sob. galvanoplastia|Waterlow and Sons Ltd. de Londres|67.700|16|Para la custodia, conservación y estudio de las catacumbas italianas, se creo la Comisión Pontificia de Arqueología Sagrada. En el estudio y descubrimiento de las catacumbas italianas destacan Antonio Bosio (1575-1629) conocido como el Colon de la Roma Subterránea, por el gran número de catacumbas que descubrió, y sobre todo Juan Bautista de Rossi (1822-1894) uno de los pioneros de la arqueología cristiana. Aunque de Rossi se graduó en jurisprudencia gran parte de su vida, la dedico al estudio científico de la las catacumbas, destacando por el hallazgo de las Catacumbas de San Calixto, una de las más importantes de Roma.El Papa Pío XI en el año 1925 definió las competencias de la Comisión Pontificia de Arqueología Sacra, cuyas funciones referentes al estudio de las catacumbas fueron posteriormente precisadas con una serie de normas pactadas con las autoridades italianas.
1928|1928/12/23|0430|430|Pro Catacumbas de San Dámaso|Pio XI y Alfonso XIII. Serie para Santiago|2 pta|46 x 29 mm|castaño rojizo y negro|12 1/2 de línea|J.C.A. Harrison|Calcografía, sob. galvanoplastia|Waterlow and Sons Ltd. de Londres|67.700|16|Para la custodia, conservación y estudio de las catacumbas italianas, se creo la Comisión Pontificia de Arqueología Sagrada. En el estudio y descubrimiento de las catacumbas italianas destacan Antonio Bosio (1575-1629) conocido como el Colon de la Roma Subterránea, por el gran número de catacumbas que descubrió, y sobre todo Juan Bautista de Rossi (1822-1894) uno de los pioneros de la arqueología cristiana. Aunque de Rossi se graduó en jurisprudencia gran parte de su vida, la dedico al estudio científico de la las catacumbas, destacando por el hallazgo de las Catacumbas de San Calixto, una de las más importantes de Roma.El Papa Pío XI en el año 1925 definió las competencias de la Comisión Pontificia de Arqueología Sacra, cuyas funciones referentes al estudio de las catacumbas fueron posteriormente precisadas con una serie de normas pactadas con las autoridades italianas
1928|1928/12/23|0431|431|Pro Catacumbas de San Dámaso|Pio XI y Alfonso XIII. Serie para Santiago|3 pta|46 x 29 mm|rosa y violeta|12 1/2 de línea|J.C.A. Harrison|Calcografía, sob. galvanoplastia|Waterlow and Sons Ltd. de Londres|67.700|16|Para la custodia, conservación y estudio de las catacumbas italianas, se creo la Comisión Pontificia de Arqueología Sagrada. En el estudio y descubrimiento de las catacumbas italianas destacan Antonio Bosio (1575-1629) conocido como el Colon de la Roma Subterránea, por el gran número de catacumbas que descubrió, y sobre todo Juan Bautista de Rossi (1822-1894) uno de los pioneros de la arqueología cristiana. Aunque de Rossi se graduó en jurisprudencia gran parte de su vida, la dedico al estudio científico de la las catacumbas, destacando por el hallazgo de las Catacumbas de San Calixto, una de las más importantes de Roma.El Papa Pío XI en el año 1925 definió las competencias de la Comisión Pontificia de Arqueología Sacra, cuyas funciones referentes al estudio de las catacumbas fueron posteriormente precisadas con una serie de normas pactadas con las autoridades italianas.
1928|1928/12/23|0432|432|Pro Catacumbas de San Dámaso|Pio XI y Alfonso XIII. Serie para Santiago|4 pta|46 x 29 mm|castaño y negro|12 1/2 de línea|J.C.A. Harrison|Calcografía, sob. galvanoplastia|Waterlow and Sons Ltd. de Londres|67.700|16|Para la custodia, conservación y estudio de las catacumbas italianas, se creo la Comisión Pontificia de Arqueología Sagrada. En el estudio y descubrimiento de las catacumbas italianas destacan Antonio Bosio (1575-1629) conocido como el Colon de la Roma Subterránea, por el gran número de catacumbas que descubrió, y sobre todo Juan Bautista de Rossi (1822-1894) uno de los pioneros de la arqueología cristiana. Aunque de Rossi se graduó en jurisprudencia gran parte de su vida, la dedico al estudio científico de la las catacumbas, destacando por el hallazgo de las Catacumbas de San Calixto, una de las más importantes de Roma.El Papa Pío XI en el año 1925 definió las competencias de la Comisión Pontificia de Arqueología Sacra, cuyas funciones referentes al estudio de las catacumbas fueron posteriormente precisadas con una serie de normas pactadas con las autoridades italianas.
1928|1928/12/23|0433|433|Pro Catacumbas de San Dámaso|Pio XI y Alfonso XIII. Serie para Santiago|5 pta|46 x 29 mm|negro y violeta|12 1/2 de línea|J.C.A. Harrison|Calcografía, sob. galvanoplastia|Waterlow and Sons Ltd. de Londres|67.700|16|Para la custodia, conservación y estudio de las catacumbas italianas, se creo la Comisión Pontificia de Arqueología Sagrada. En el estudio y descubrimiento de las catacumbas italianas destacan Antonio Bosio (1575-1629) conocido como el Colon de la Roma Subterránea, por el gran número de catacumbas que descubrió, y sobre todo Juan Bautista de Rossi (1822-1894) uno de los pioneros de la arqueología cristiana. Aunque de Rossi se graduó en jurisprudencia gran parte de su vida, la dedico al estudio científico de la las catacumbas, destacando por el hallazgo de las Catacumbas de San Calixto, una de las más importantes de Roma.El Papa Pío XI en el año 1925 definió las competencias de la Comisión Pontificia de Arqueología Sacra, cuyas funciones referentes al estudio de las catacumbas fueron posteriormente precisadas con una serie de normas pactadas con las autoridades italianas.
1929|1929/02/15|0434|434|Pro Exposiciones de Sevilla y Barcelona|Galeón y vista de Sevilla|1 cts|37 x 28 mm|verde azulado|11 1/4 de peine|José López Sánchez-Toda|Calcografía|Fábrica Nacional de Moneda y Timbre|95.000|14|Vemos a La Nao Santa Maria en el río Guadalquivir, sus márgenes bañan la Giralda que es el nombre que recibe el campanario de la Catedral de Santa María de la ciudad de Sevilla. El 29 de diciembre de 1928 fue declarada Patrimonio Nacional y en 1987 integró la lista del Patrimonio de la Humanidad.
1929|15-feb-29|0435|435|Pro Exposiciones de Sevilla y Barcelona|Macero del Ayuntamiento de Barcelona|2 cts|28 x 37 mm|verde oliva|11 1/4 de peine|Camilo Delhom|Calcografía|Fábrica Nacional de Moneda y Timbre|95.000|14|Maza que llevan como insignia los maceros de la Ciudad como señal de dignidad ante las autoridades del municipio. Los maceros representan los porteros o abridores del camino de una comitiva municipal.
1929|1929/02/15|0436|436|Pro Exposiciones de Sevilla y Barcelona|Plaza de España|5 cts|28 x 37 mm|carmín violáceo|11 1/4 de peine|José López Sánchez-Toda|Calcografía|Fábrica Nacional de Moneda y Timbre|95.000|14|La Plaza de España constituyó el proyecto más emblemático de la Exposición Iberoamericana del año 1929, fue proyectada por el arquitecto sevillano Aníbal González, que también era arquitecto director del evento expositivo. Las obras de construcción comenzaron en el año 1914, resultando el proyecto más ambicioso y costoso de la Exposición, llegando a trabajar en su construcción mil hombres al mismo tiempo.
1929|1929/02/15|0437|437|Pro Exposiciones de Sevilla y Barcelona|Alfonso XIII y vistas de Barcelona|10 cts|37 x 28 mm|verde|11 1/4 de peine|Enrique Vaquer|Calcografía|Fábrica Nacional de Moneda y Timbre|95.000|14|El Monumento a Colón es una de las más famosas estatuas de la ciudad de Barcelona. El monumento fue construido como punto culminante de las obras de mejora del litoral de Barcelona efectuadas con motivo de la Exposición Universal de Barcelona de 1888. Inaugurado el 1 de junio de 1888, en plena exposición, se convirtió enseguida en uno de los iconos más característicos de la ciudad. En el interior de la columna hay un ascensor que permite subir hasta la semiesfera situada bajo los pies de la estatua, desde donde se divisa la ciudad.
1929|1929/02/15|0438|438|Pro Exposiciones de Sevilla y Barcelona|Galeón y vista de Sevilla|15 cts|37 x 28 mm|verde azulado|11 1/4 de peine|José López Sánchez-Toda|Calcografía|Fábrica Nacional de Moneda y Timbre|95.000|14|Vemos a La Nao Santa Maria en el río Guadalquivir, sus márgenes bañan la Giralda que es el nombre que recibe el campanario de la Catedral de Santa María de la ciudad de Sevilla. El 29 de diciembre de 1928 fue declarada Patrimonio Nacional y en 1987 integró la lista del Patrimonio de la Humanidad.
1929|1929/02/15|0439|439|Pro Exposiciones de Sevilla y Barcelona|Macero del Ayuntamiento de Barcelona|20 cts|28 x 37 mm|violeta|11 1/4 de peine|Camilo Delhom|Calcografía|Fábrica Nacional de Moneda y Timbre|95.000|14|Maza que llevan como insignia los maceros de la Ciudad como señal de dignidad ante las autoridades del municipio. Los maceros representan los porteros o abridores del camino de una comitiva municipal.
1929|1929/02/15|0440|440|Pro Exposiciones de Sevilla y Barcelona|Galeón y vista de Sevilla|25 cts|37 x 28 mm|rosa|11 1/4 de peine|José López Sánchez-Toda|Calcografía|Fábrica Nacional de Moneda y Timbre|95.000|14|Vemos a La Nao Santa Maria en el río Guadalquivir, sus márgenes bañan la Giralda que es el nombre que recibe el campanario de la Catedral de Santa María de la ciudad de Sevilla. El 29 de diciembre de 1928 fue declarada Patrimonio Nacional y en 1987 integró la lista del Patrimonio de la Humanidad.
1929|1929/02/15|0441|441|Pro Exposiciones de Sevilla y Barcelona|Plaza de España|30 cts|28 x 37 mm|castaño negruzco|11 1/4 de peine|José López Sánchez-Toda|Calcografía|Fábrica Nacional de Moneda y Timbre|95.000|14|La Plaza de España constituyó el proyecto más emblemático de la Exposición Iberoamericana del año 1929, fue proyectada por el arquitecto sevillano Aníbal González, que también era arquitecto director del evento expositivo. Las obras de construcción comenzaron en el año 1914, resultando el proyecto más ambicioso y costoso de la Exposición, llegando a trabajar en su construcción mil hombres al mismo tiempo.
1929|1929/02/15|0442|442|Pro Exposiciones de Sevilla y Barcelona|Alfonso XIII y vistas de Barcelona|40 cts|37 x 28 mm|azul|11 1/4 de peine|Enrique Vaquer|Calcografía|Fábrica Nacional de Moneda y Timbre|95.000|14|El Monumento a Colón es una de las más famosas estatuas de la ciudad de Barcelona. El monumento fue construido como punto culminante de las obras de mejora del litoral de Barcelona efectuadas con motivo de la Exposición Universal de Barcelona de 1888. Inaugurado el 1 de junio de 1888, en plena exposición, se convirtió enseguida en uno de los iconos más característicos de la ciudad. En el interior de la columna hay un ascensor que permite subir hasta la semiesfera situada bajo los pies de la estatua, desde donde se divisa la ciudad.
1929|1929/02/15|0443|443|Pro Exposiciones de Sevilla y Barcelona|Macero del Ayuntamiento de Barcelona|20 cts|28 x 37 mm|naranja|11 1/4 de peine|Camilo Delhom|Calcografía|Fábrica Nacional de Moneda y Timbre|95.000|14|Maza que llevan como insignia los maceros de la Ciudad como señal de dignidad ante las autoridades del municipio. Los maceros representan los porteros o abridores del camino de una comitiva municipal.
1929|1929/02/15|0444|444|Pro Exposiciones de Sevilla y Barcelona|Plaza de España|1 pta|28 x 37 mm|pizarra|11 1/4 de peine|José López Sánchez-Toda|Calcografía|Fábrica Nacional de Moneda y Timbre|95.000|14|La Plaza de España constituyó el proyecto más emblemático de la Exposición Iberoamericana del año 1929, fue proyectada por el arquitecto sevillano Aníbal González, que también era arquitecto director del evento expositivo. Las obras de construcción comenzaron en el año 1914, resultando el proyecto más ambicioso y costoso de la Exposición, llegando a trabajar en su construcción mil hombres al mismo tiempo.
1929|1929/02/15|0445|445|Pro Exposiciones de Sevilla y Barcelona|Alfonso XIII y vistas de Barcelona|4 pta|37 x 28 mm|lila rosáceo|11 1/4 de peine|Enrique Vaquer|Calcografía|Fábrica Nacional de Moneda y Timbre|95.000|14|El Monumento a Colón es una de las más famosas estatuas de la ciudad de Barcelona. El monumento fue construido como punto culminante de las obras de mejora del litoral de Barcelona efectuadas con motivo de la Exposición Universal de Barcelona de 1888. Inaugurado el 1 de junio de 1888, en plena exposición, se convirtió enseguida en uno de los iconos más característicos de la ciudad. En el interior de la columna hay un ascensor que permite subir hasta la semiesfera situada bajo los pies de la estatua, desde donde se divisa la ciudad.
1929|1929/02/15|0446|446|Pro Exposiciones de Sevilla y Barcelona|Alfonso XIII y vistas de Barcelona|10 pta|37 x 28 mm|castaño|11 1/4 de peine|Enrique Vaquer|Calcografía|Fábrica Nacional de Moneda y Timbre|95.000|14|El Monumento a Colón es una de las más famosas estatuas de la ciudad de Barcelona. El monumento fue construido como punto culminante de las obras de mejora del litoral de Barcelona efectuadas con motivo de la Exposición Universal de Barcelona de 1888. Inaugurado el 1 de junio de 1888, en plena exposición, se convirtió enseguida en uno de los iconos más característicos de la ciudad. En el interior de la columna hay un ascensor que permite subir hasta la semiesfera situada bajo los pies de la estatua, desde donde se divisa la ciudad.
1929|1929/02/15|0447|447|Pro Exposiciones de Sevilla y Barcelona|Gacela|20 cts|37 x 28 mm|naranja|11 1/4 de peine|Camilo Delhom|Calcografía|Fábrica Nacional de Moneda y Timbre|95.000|14|Las gacelas  son antílopes de tamaño medio, ágiles y de patas largas. El nombre femenino gacela viene de la palabra persa Ghazal, que significa «elegante y rápida». Pueden alcanzar velocidades de 97 km/h, y mantener una velocidad de 56 km/h por un periodo prolongado. Por este motivo se ha representado para el correo urgente.
1929|1929/02/15|0448|448|Pro Exposiciones de Sevilla y Barcelona|Avión «Spirit of St Louis»|5 cts|28,5 x 39 mm|castaño|11 1/4 de peine|José López Sánchez-Toda|Calcografía|Fábrica Nacional de Moneda y Timbre|45.000|6|La Exposición Iberoamericana de Sevilla, inaugurada el 9 de mayo de 1929 y clausurada el 21 de junio de 1930, ha sido uno de los hechos más importantes de principios del siglo XX para la ciudad de Sevilla. Desde que en 1909, Luis Rodríguez Caso hiciera pública su idea de celebrar en Sevilla una Exposición Internacional, hasta la fecha de su materialización transcurrieron veinte años. La Exposición Internacional de Barcelona tuvo lugar del 20 de mayo de 1929 al 15 de enero de 1930. En Barcelona se guardaba un grato recuerdo de la Exposición Universal de 1888, que supuso un gran avance para la ciudad en el terreno económico y tecnológico, así como la remodelación del Parque de la Ciudadela. Por eso se proyectó esta nueva exposición para dar a conocer los nuevos adelantos tecnológicos y proyectar la imagen de la industria catalana en el exterior.
1929|1929/02/15|0449|449|Pro Exposiciones de Sevilla y Barcelona|Avión «Spirit of St Louis»|10 cts|28,5 x 39 mm|rosa|11 1/4 de peine|José López Sánchez-Toda|Calcografía|Fábrica Nacional de Moneda y Timbre|45.000|6|La Exposición Iberoamericana de Sevilla, inaugurada el 9 de mayo de 1929 y clausurada el 21 de junio de 1930, ha sido uno de los hechos más importantes de principios del siglo XX para la ciudad de Sevilla. Desde que en 1909, Luis Rodríguez Caso hiciera pública su idea de celebrar en Sevilla una Exposición Internacional, hasta la fecha de su materialización transcurrieron veinte años. La Exposición Internacional de Barcelona tuvo lugar del 20 de mayo de 1929 al 15 de enero de 1930. En Barcelona se guardaba un grato recuerdo de la Exposición Universal de 1888, que supuso un gran avance para la ciudad en el terreno económico y tecnológico, así como la remodelación del Parque de la Ciudadela. Por eso se proyectó esta nueva exposición para dar a conocer los nuevos adelantos tecnológicos y proyectar la imagen de la industria catalana en el exterior.
1929|1929/02/15|0450|450|Pro Exposiciones de Sevilla y Barcelona|Avión «Spirit of St Louis»|25 cts|28,5 x 39 mm|azul|11 1/4 de peine|José López Sánchez-Toda|Calcografía|Fábrica Nacional de Moneda y Timbre|45.000|6|La Exposición Iberoamericana de Sevilla, inaugurada el 9 de mayo de 1929 y clausurada el 21 de junio de 1930, ha sido uno de los hechos más importantes de principios del siglo XX para la ciudad de Sevilla. Desde que en 1909, Luis Rodríguez Caso hiciera pública su idea de celebrar en Sevilla una Exposición Internacional, hasta la fecha de su materialización transcurrieron veinte años. La Exposición Internacional de Barcelona tuvo lugar del 20 de mayo de 1929 al 15 de enero de 1930. En Barcelona se guardaba un grato recuerdo de la Exposición Universal de 1888, que supuso un gran avance para la ciudad en el terreno económico y tecnológico, así como la remodelación del Parque de la Ciudadela. Por eso se proyectó esta nueva exposición para dar a conocer los nuevos adelantos tecnológicos y proyectar la imagen de la industria catalana en el exterior.
1929|1929/02/15|0451|451|Pro Exposiciones de Sevilla y Barcelona|Avión «Spirit of St Louis»|50 cts|28,5 x 39 mm|violeta|11 1/4 de peine|José López Sánchez-Toda|Calcografía|Fábrica Nacional de Moneda y Timbre|45.000|6|La Exposición Iberoamericana de Sevilla, inaugurada el 9 de mayo de 1929 y clausurada el 21 de junio de 1930, ha sido uno de los hechos más importantes de principios del siglo XX para la ciudad de Sevilla. Desde que en 1909, Luis Rodríguez Caso hiciera pública su idea de celebrar en Sevilla una Exposición Internacional, hasta la fecha de su materialización transcurrieron veinte años. La Exposición Internacional de Barcelona tuvo lugar del 20 de mayo de 1929 al 15 de enero de 1930. En Barcelona se guardaba un grato recuerdo de la Exposición Universal de 1888, que supuso un gran avance para la ciudad en el terreno económico y tecnológico, así como la remodelación del Parque de la Ciudadela. Por eso se proyectó esta nueva exposición para dar a conocer los nuevos adelantos tecnológicos y proyectar la imagen de la industria catalana en el exterior.
1929|1929/02/15|0452|452|Pro Exposiciones de Sevilla y Barcelona|Avión «Spirit of St Louis»|1 pta|28,5 x 39 mm|verde amarillento|11 1/4 de peine|José López Sánchez-Toda|Calcografía|Fábrica Nacional de Moneda y Timbre|45.000|6|La Exposición Iberoamericana de Sevilla, inaugurada el 9 de mayo de 1929 y clausurada el 21 de junio de 1930, ha sido uno de los hechos más importantes de principios del siglo XX para la ciudad de Sevilla. Desde que en 1909, Luis Rodríguez Caso hiciera pública su idea de celebrar en Sevilla una Exposición Internacional, hasta la fecha de su materialización transcurrieron veinte años. La Exposición Internacional de Barcelona tuvo lugar del 20 de mayo de 1929 al 15 de enero de 1930. En Barcelona se guardaba un grato recuerdo de la Exposición Universal de 1888, que supuso un gran avance para la ciudad en el terreno económico y tecnológico, así como la remodelación del Parque de la Ciudadela. Por eso se proyectó esta nueva exposición para dar a conocer los nuevos adelantos tecnológicos y proyectar la imagen de la industria catalana en el exterior.
